CLOSE_AUDUSD.FX,CLOSE_EURUSD.FX,CLOSE_GBPUSD.FX,CLOSE_NZDUSD.FX,CLOSE_USDCAD.FX,CLOSE_USDCHF.FX,CLOSE_USDCNH.FX,CLOSE_USDCNY.FX,CLOSE_USDDKK.FX,CLOSE_USDHKD.FX,CLOSE_USDJPY.FX,CLOSE_USDNOK.FX,CLOSE_USDSEK.FX
0.7678,1.1595,1.3116,0.6966,1.2729,1.0001,6.6322,6.602,6.4199,7.7978,113.87,8.1659,8.381
0.7645,1.1587,1.3166,0.6901,1.2777,0.9998,6.641,6.635,6.4241,7.8046,114.01,8.1714,8.3981
0.7691,1.161,1.3171,0.6945,1.2704,0.9974,6.6251,6.6465,6.4103,7.8017,113.71,8.1348,8.3979
0.765,1.1608,1.3077,0.6907,1.2764,1.0007,6.6365,6.6505,6.4127,7.8029,114.07,8.1762,8.4337
0.7713,1.1658,1.3059,0.6913,1.2809,0.9994,6.6068,6.6426,6.3836,7.8011,114.08,8.1357,8.3948
0.7676,1.1619,1.3245,0.6886,1.2865,1.0033,6.609,6.6391,6.4051,7.8002,114.18,8.1499,8.4014
0.7656,1.1646,1.3283,0.6847,1.2888,0.9976,6.6324,6.6358,6.3897,7.8011,113.64,8.1689,8.3776
0.7688,1.1651,1.3208,0.6876,1.2833,0.9943,6.6369,6.64,6.3871,7.7989999999999995,113.18,8.1512,8.3534
0.7677,1.1608,1.3128,0.6878,1.2808,0.9981,6.6479,6.6205,6.4095,7.8038,113.67,8.1476,8.3722
0.7659999999999999,1.1651,1.3161,0.684,1.2847,0.9975,6.6535,6.6138,6.3881,7.8028,113.98,8.171,8.349
0.7704,1.1813,1.3262,0.6888,1.2796,0.9897,6.6377,6.6274,6.3011,7.8038,113.74,8.0157,8.218
0.7776,1.1761,1.3134,0.6909,1.2675,0.9911,6.6428,6.6236,6.3294,7.8042,113.9,8.0056,8.2209
0.7807,1.1749,1.3198,0.6967,1.2647,0.985,6.6369,6.5898,6.3357,7.8005,113.43,8.0022,8.2003
0.7817,1.1784,1.319,0.6963,1.2627,0.9842,6.622999999999999,6.5796,6.3161,7.8047,113.52,7.9831,8.162
0.7878,1.1852,1.3159,0.7031,1.2485,0.9763,6.6056,6.5875,6.2799,7.8012,112.54,7.9318,8.1263
0.7846,1.1787,1.3205,0.7153,1.2467,0.9816,6.6208,6.5903,6.3154,7.8086,112.94,7.9605,8.1427
0.7846,1.1766,1.319,0.7171,1.2522,0.9784,6.6063,6.5743,6.3268,7.8082,112.2,7.9447,8.1531
0.7851,1.1796,1.3251,0.7171,1.2518,0.9756,6.5829,6.6251,6.3109,7.8074,112.19,7.8977,8.106
0.7887,1.182,1.3285,0.7181,1.2468,0.9745,6.5683,6.6528,6.2977,7.807,111.82,7.8875,8.1072
0.782,1.183,1.3262,0.7124,1.2475,0.9755,6.5783,6.6608,6.2922,7.808,112.28,7.9015,8.1202
0.7788,1.1859,1.3223,0.7081,1.2458,0.9735,6.5737,6.6425,6.2771,7.8067,112.5,7.9218,8.049
0.7778,1.1808,1.3203,0.7070000000000001,1.2515,0.9752,6.5667,6.6398,6.303,7.8041,112.45,7.9523,8.0738
0.7753,1.1740000000000002,1.3142,0.7064,1.2551,0.9798,6.6154,6.6215,6.3398,7.8064,112.68,7.9832,8.1262
0.7767,1.173,1.3066,0.7093,1.2529,0.9797,6.6505,6.5901,6.3451,7.8064,112.65,8.0014,8.1188
0.7795,1.1711,1.3119,0.7117,1.2565,0.9783,6.6543,6.5904,6.3556,7.8095,112.82,8.0057,8.1407
0.7865,1.1759,1.3248,0.7168,1.2476,0.9753,6.6487,6.5749,6.3292,7.807,112.76,7.9585,8.0987
0.7836,1.1744,1.3237,0.716,1.2487,0.9737,6.6664,6.5835,6.3379,7.8107,112.85,7.9815,8.1376
0.7827,1.1733,1.3276,0.7196,1.2508,0.9747,6.6729,6.5752,6.3436,7.8124,112.77,7.9993,8.1698
0.7834,1.1814,1.3398,0.7209,1.2472,0.9683,6.6468,6.5526,6.2989,7.811,112.51,7.9626,8.148
0.7856,1.1786,1.3442,0.7237,1.2428,0.9702,6.6543,6.556,6.3143,7.8122,112.34,7.9387,8.1124
0.7849,1.1745,1.3387,0.72,1.2477,0.9721,6.6398,6.5415,6.3363,7.8095,112.84,7.9523,8.1495
0.7886,1.1793,1.3458,0.7208,1.2349,0.9687,6.6284,6.5354,6.3092,7.8118,112.24,7.8923,8.1199
0.7937,1.1848,1.3466,0.7264,1.2371,0.9666,6.6124,6.5292,6.2794,7.8141,111.73,7.8175,8.0432
0.7962,1.1951,1.3504,0.733,1.2339,0.9693,6.5794,6.4944,6.2268,7.8093,111.99,7.8005,7.9828
0.7929,1.1941,1.358,0.7307,1.2327,0.9706,6.5686,6.487,6.2314,7.8045,112.48,7.8024,7.972
0.8031,1.1892,1.3495,0.7357,1.2323,0.9698,6.5863,6.5242,6.257000000000001,7.8011,112.22,7.8660000000000005,8.0132
0.8009999999999999,1.1994,1.3503,0.7318,1.2292,0.9627,6.5839,6.5388,6.2038,7.8048,111.59,7.7986,7.9519
0.7958,1.1954,1.3495,0.7263,1.2291,0.9615,6.5752,6.5309,6.2252,7.8167,111.57,7.8337,7.9623
0.8002,1.1945,1.3594,0.7299,1.2198,0.9603,6.5479,6.5584,6.2305,7.8188,110.83,7.8512,7.9663
0.8005,1.1919,1.3399,0.7222,1.2165,0.9632,6.5428,6.5901,6.2427,7.8131,110.24,7.8734,7.9889
0.7986,1.1885,1.3211,0.7241,1.2172,0.9641,6.5477,6.593999999999999,6.26,7.8128,110.49,7.8795,8.0329
0.8019,1.1967,1.3283,0.7288,1.2186,0.9604,6.5360000000000005,6.5968,6.2177,7.8114,110.17,7.8355,7.9714
0.8029,1.1953,1.3163,0.7254,1.2109999999999999,0.9563,6.5388,6.6144,6.2242,7.8108,109.39,7.8418,8.0129
0.8059999999999999,1.2036,1.32,0.7265,1.2159,0.9442,6.4943,6.6465,6.1824,7.8134,107.84,7.74,7.931
0.8047,1.2023,1.3101,0.7233,1.2115,0.9506,6.4865,6.662000000000001,6.1889,7.8133,108.45,7.7341,7.9211
0.8,1.1917,1.3043,0.72,1.2226,0.9567,6.5408,6.659,6.242999999999999,7.8254,109.22,7.8035,7.9804
